,ID,none_sent,lm_sent,none_pred,LM_pred,true
163836,e9b29483-adf2-40cc-8f91-0380f0f10362,youssou  n’dour  and  neneh  cherry  7  seconds ,"youssou  n’dour  and  neneh  cherry  7  seconds youssou is a senegalese given name. notable people with the name include:youssou lo , senegalese footballeryoussou n'dour , senegalese singer, percussionist, songwriter, composer, and actoryoussou ndoye , senegalese basketball player",B-PER I-PER O B-PER I-PER O O,B-PER I-PER O B-PER I-PER B-CW I-CW,B-PER I-PER O B-PER I-PER B-CW I-CW
207957,562c0547-76b6-4937-a267-03b6ffe56e2c,bukayo  how  to  use ,"bukayo  how  to  use bukayo is a filipino dessert made from sweetened coconut strips. it is traditionally made by simmering strips or shredded bits of young, gelatinous coconut  in water and sinuklob, which is sugarcane muscovado sugar melted into a chewy caramel-like consistency.",B-CW O O O,B-PROD O O O,B-PROD O O O
15552,d8e0da18-02af-4914-98de-487c7b01d5b8,lyangcha  technical  support ,"lyangcha  technical  support lyangcha, langcha , or lemcha, is an indian sweet dish prepared in west bengal, jharkhand, odisha, bihar, assam, tripura and also throughout bangladesh. it is made from flour and milk powder by frying it and dipping it into sugar syrup for a long time.",B-CORP O O,B-PROD O O,B-PROD O O
176602,578bed47-56a1-436d-a3a0-09b4754caf05,epistulae  morales  ad  lucilium  construction ,"epistulae  morales  ad  lucilium  construction an epistle  is a writing directed or sent to a person or group of people, usually an elegant and formal didactic letter. the epistle genre of letter-writing was common in ancient egypt as part of the scribal-school writing curriculum.",B-CW I-CW O B-PER O,B-CW I-CW I-CW I-CW O,B-CW I-CW I-CW I-CW O
137518,4897c15f-5d81-460d-a8cd-6a07eb1f2210,jobs  at  gibraltar  archives ,jobs  at  gibraltar  archives the gibraltar national archives is a department of the government of gibraltar under the responsibility of the ministry of the deputy chief minister of gibraltar. the gibraltar archives were established in 1969 following gibraltar's first constitution.,O O B-CORP I-CORP,O O B-GRP I-GRP,O O B-GRP I-GRP
77651,fd53688a-2fdb-4847-9ec7-1828a994280f,the  song  's  instrumentation  was  compared  to  style  by  taylor  swift  . ,"the  song  's  instrumentation  was  compared  to  style  by  taylor  swift  . taylor alison swift  is an american singer-songwriter. her discography spans multiple genres, and her songwriting—often inspired by her personal life—has received critical praise and wide media coverage.",O O O O O O O O O B-PER I-PER O,O O O O O O O B-CW O B-PER I-PER O,O O O O O O O B-CW O B-PER I-PER O
4394,6cc58ee4-6df6-4bf2-a8f0-34f088ecbd0a,jesse  brock  impact ,"jesse  brock  impact jesse brock  is a bluegrass artist who plays the mandolin and supplies both lead and supporting vocals. he records and tours with the east tennessee based authentic unlimited band, which made their stage debut on february 19, 2022, in asheville, north carolina.",B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
213305,7f16d7a6-c092-4716-afbf-a3e003738d1f,sugar  free  kochi  refineries ,"sugar  free  kochi  refineries kochi , also known as cochin   is a major port city on the malabar coast of india bordering the laccadive sea, which is a part of the arabian sea. it is part of the district of ernakulam in the state of kerala and is commonly referred to as ernakulam.",O O B-CORP O,O O B-CORP I-CORP,O O B-CORP I-CORP
41225,09a7bf48-2018-475f-9f05-76726045edd8,origin  of  the  name  gubbeltåga ,"origin  of  the  name  gubbeltåga gubbeltåga  or gubbeltædno  is a river in the municipality of rana in nordland county, norway, which flows in a southern and southwestern direction. the 15-kilometre  long river begins at the drainage divide on the saltfjellet plateau in the north.",O O O O B-PER,O O O O B-LOC,O O O O B-LOC
214580,d6d7550f-5cff-4b7c-81ed-c3402ad9ca2c,he  contributed  to  translate  two  volumes  of  tafhim-ul-quran  to  malayalam  . ,he  contributed  to  translate  two  volumes  of  tafhim-ul-quran  to  malayalam  . malayalam  is a dravidian language spoken in the indian state of kerala and the union territories of lakshadweep and puducherry  by the malayali people. it is one of 22 scheduled languages of india.,O O O O O O O B-CW O B-CW O,O O O O O O O B-CW O O O,O O O O O O O B-CW O O O
155785,f6578aac-cbdb-498e-ba4c-8dbcca0805b8,how  much  does  a  austin  freeway  weigh ,"how  much  does  a  austin  freeway  weigh the austin freeway is an automobile which was developed by bmc australia, based on the british austin a60 cambridge. introduced in 1962, it was marketed under the austin name in both four-door sedan and five-door station wagon body styles.",O O O O B-LOC I-LOC O,O O O O B-PROD I-PROD O,O O O O B-PROD I-PROD O
208498,994d7779-5b78-459b-b76f-4b6c74525903,work  for  henry  schein ,"work  for  henry  schein henry schein, inc. is an american distributor of health care products and services with a presence in 32 countries. the company is a fortune world's most admired company and is ranked number one in its industry for social responsibility by fortune magazine.",O O B-PER I-PER,O O B-CORP I-CORP,O O B-CORP I-CORP
184239,b853e16a-54d4-40e6-89d1-bf83d6dc3b9f,thomas  middleton  heritage ,"thomas  middleton  heritage thomas middleton  was an english jacobean playwright and poet. he, with john fletcher and ben jonson, was among the most successful and prolific of playwrights at work in the jacobean period, and among the few to gain equal success in comedy and tragedy.",B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
93976,9995eddc-f368-455d-b789-1d814b96a584,originally  released  in  1994  .  distribution  only  ;  produced  by  toho  . ,"originally  released  in  1994  .  distribution  only  ;  produced  by  toho  . toho co., ltd.  is a japanese film, theatre production and distribution company. it has its headquarters in chiyoda, tokyo, and is one of the core companies of the osaka-based hankyu hanshin toho group.",O O O O O O O O O O B-PER O,O O O O O O O O O O B-CORP O,O O O O O O O O O O B-CORP O
194541,bf78c6be-dc2c-4a33-8cfd-01172747938a,it  is  entirely  included  in  the  tarragona  province  . ,"it  is  entirely  included  in  the  tarragona  province  . tarragona  is a port city located in northeast spain on the costa daurada by the mediterranean sea. founded before the fifth century bc, it is the capital of the province of tarragona, and part of tarragonès and catalonia.",O O O O O O B-LOC O O,O O O O O O B-LOC I-LOC O,O O O O O O B-LOC I-LOC O
190886,f38f0ca6-953c-4e78-88bf-bd1ff919a722,"street  also  designed  the  piscina  ,  sedilia  ,  pulpit  ,  lectern  ,  pews  ,  and  baptismal  font  . ","street  also  designed  the  piscina  ,  sedilia  ,  pulpit  ,  lectern  ,  pews  ,  and  baptismal  font  . a piscina is a shallow basin placed near the altar of a church, or else in the vestry or sacristy, used for washing the communion vessels. the sacrarium is the drain itself.",O O O O B-PROD O B-PROD O B-PROD O B-PROD O B-PROD O O B-PROD I-PROD O,O O O O B-PROD O B-PROD O B-PROD O B-PROD O O O O B-PROD I-PROD O,O O O O B-PROD O B-PROD O B-PROD O B-PROD O O O O B-PROD I-PROD O
84149,9c69a8a4-5efd-46d5-b62e-83ceba7694d4,what  is  archduchess  maria  immakulata  of  austria ,"what  is  archduchess  maria  immakulata  of  austria austria, formally the republic of austria, is a country in the southern part of central europe, lying in the eastern alps. it is a federation of nine states, one of which is the capital, vienna, the most populous city and state.",O O B-LOC I-LOC I-LOC I-LOC I-LOC,O O B-PER I-PER I-PER I-PER I-PER,O O B-PER I-PER I-PER I-PER I-PER
203482,954ae9c9-269a-4038-9430-e6c4632b80ee,why  constantia  flexibles ,"why  constantia  flexibles constantia flexibles is a manufacturer of flexible packaging headquartered in vienna, austria. constantia flexibles employs around 8,750 people, at approximately 38 production sites in 16 countries, predominantly in europe, north america, africa and asia.",O B-GRP I-GRP,O B-CORP I-CORP,O B-CORP I-CORP
39362,634a2a69-d97a-4f45-8517-9d112203187b,cancoillotte  fiber ,"cancoillotte  fiber cancoillotte or cancoyotte is a runny french cheese made from metton cheese, and produced principally in franche-comté, but also lorraine and luxembourg, where it is also called kachkéis or kochkäse in german . it is a typical cheese in franc-comtois gastronomy.",B-CORP O,B-PROD O,B-PROD O
175848,d4be4fd7-18dc-491f-9e5d-22f7a97444df,jefferson  heights  sign  in  login ,"jefferson  heights  sign  in  login jefferson heights is a hamlet and census-designated place  in greene county, new york, united states. the population was 1,122 at the 2020 census.the community of jefferson heights is in the town of catskill, northwest of the village of catskill.",B-CORP I-CORP O O O,B-LOC I-LOC O O O,B-LOC I-LOC O O O
211643,db122ae2-d027-4774-bcbe-734f7e7b4571,ellweiler  journey ,"ellweiler  journey ellweiler is an ortsgemeinde – a municipality belonging to a verbandsgemeinde, a kind of collective municipality – in the birkenfeld district in rhineland-palatinate, germany. it belongs to the verbandsgemeinde of birkenfeld, whose seat is in the like-named town.",B-LOC I-CW,B-LOC O,B-LOC O
119149,2367aef2-ead8-432b-a706-f91b0feb0b53,high  point  central  connecticut  state  university ,"high  point  central  connecticut  state  university connecticut  is the southernmost state in the new england region of the northeastern united states. it is bordered by rhode island to the east, massachusetts to the north, new york to the west, and long island sound to the south.",O O O B-GRP I-GRP I-GRP,O O B-GRP I-GRP I-GRP I-GRP,O O B-GRP I-GRP I-GRP I-GRP
212001,626e31e9-50fd-43bc-bf01-ead482f1b09b,nihon  ad  systems  production ,"nihon  ad  systems  production japan  is an island country in east asia. it is situated in the northwest pacific ocean and is bordered on the west by the sea of japan, extending from the sea of okhotsk in the north toward the east china sea, philippine sea, and taiwan in the south.",B-CORP I-CORP O O,B-CORP I-CORP I-CORP O,B-CORP I-CORP I-CORP O
77054,1cf8fde1-6260-43b5-aadb-0cf6d0c8e2c1,chevrolet  cobalt  animal ,"chevrolet  cobalt  animal chevrolet   is an american automobile division of the american manufacturer general motors . louis chevrolet , arthur chevrolet and ousted general motors founder william c. durant  started the company on november 3, 1911 as the chevrolet motor car company.",B-PROD I-PROD I-PROD,B-PROD I-PROD O,B-PROD I-PROD O
43357,29fbe533-5061-45a8-bafb-b40a377f121d,victoria  the  lawrence  welk  show ,"victoria  the  lawrence  welk  show lawrence welk  was an american accordionist, bandleader, and television impresario, who hosted the the lawrence welk show from 1951 to 1982. his style came to be known as ""champagne music"" to his radio, television, and live-performance audiences.",B-CW I-CW I-CW I-CW I-CW,O B-CW I-CW I-CW I-CW,O B-CW I-CW I-CW I-CW
145431,4a0a78e6-979e-4984-af15-4bb1fcf0a6e9,renault  agora  login ,"renault  agora  login groupe renault  is a french multinational automobile manufacturer established in 1899. the company produces a range of cars and vans, and in the past has manufactured trucks, tractors, tanks, buses/coaches, aircraft and aircraft engines, and autorail vehicles.",B-CORP I-CORP O,B-PROD I-PROD O,B-PROD I-PROD O
209954,553a427b-39c3-45cf-8200-244078b53767,lotus  europa  s  in  pressure  cooker ,"lotus  europa  s  in  pressure  cooker the lotus europa name is used on two distinct mid-engine gt cars built by british automobile manufacturer lotus cars. the original europa and its variants comprise the lotus types 46, 47, 54, 65 and 74, and were produced between 1966 and 1975.",O O O O B-PROD I-PROD,B-PROD I-PROD I-PROD O O O,B-PROD I-PROD I-PROD O O O
153370,0a374df9-a7f6-4a60-88c3-e11335273bd4,ambala  district  river ,ambala  district  river ambala district is one of the 22 districts of haryana state in the country of india with ambala town serving as the administrative headquarters of the district. district ambala lies on the north-eastern edge of haryana and borders punjab and himachal pradesh.,B-LOC O O,B-LOC I-LOC O,B-LOC I-LOC O
118373,d3e6f9f1-ddab-43b6-8425-0b987a4654c5,the  feud  was  documented  by  the  houston  press  . ,"the  feud  was  documented  by  the  houston  press  . houston  is the most populous city in texas and in the southern united states. it is the fourth most populous city in the united states after chicago, los angeles and new york city; the sixth most populous city in north america.",O O O O O B-GRP I-GRP I-GRP O,O O O O O O B-GRP I-GRP O,O O O O O O B-GRP I-GRP O
66499,312a940c-dff7-4986-9ff8-9b16fc994f6d,giovanola  data  roaming ,"giovanola  data  roaming giovanola frères sa was a prominent steel manufacturing company based in monthey, switzerland. it was known for building electrical power stations, water storage tanks, pipelines, boilers, highway bridges, submarines, ski lifts and many other steel products.",B-LOC O O,B-CORP O O,B-CORP O O
40109,e16b4b7c-9137-428b-95b4-2453b6ef6fb3,chicago  spire  public  library ,"chicago  spire  public  library chicago  is the most populous city in the u.s. state of illinois and the third most populous in the united states after new york city and los angeles. with a population of 2,746,388 in the 2020 census, it is also the most populous city in the midwest.",B-LOC I-LOC I-LOC I-LOC,B-LOC I-LOC O O,B-LOC I-LOC O O
207071,0b2645ec-2dbe-4954-a3e2-3d0ac3553c1b,chevrolet  citation  types ,"chevrolet  citation  types chevrolet   is an american automobile division of the american manufacturer general motors . louis chevrolet , arthur chevrolet and ousted general motors founder william c. durant  started the company on november 3, 1911 as the chevrolet motor car company.",B-CORP O O,B-PROD I-PROD O,B-PROD I-PROD O
47820,eaa57c8e-b50c-4a11-860d-766d27fc8e2b,cooking  isuzu  hombre  recipes ,"cooking  isuzu  hombre  recipes isuzu motors ltd. , commonly known as isuzu , is a japanese multinational automobile manufacturer headquartered in nishi-ku, yokohama, japan. its principal activity is the production, marketing and sale of isuzu commercial vehicles and diesel engines.",O B-CW I-CW O,O B-PROD I-PROD O,O B-PROD I-PROD O
56063,d5bd1c68-036c-45e1-81e6-03ef964cb5f8,amazon  business ,"amazon  business amazon most often refers to:amazon river, in south americaamazon rainforest, a rainforest covering most of the amazon basinamazon , an american multinational technology companyamazons, a tribe of female warriors in greek mythologyamazon or amazone may also refer to:",B-CORP I-CW,B-CORP O,B-CORP O
190664,e2eece2a-4ccd-4f1d-8188-c25e2a1c0747,repretel  6  customer  service  phone ,"repretel  6  customer  service  phone representaciones televisivas  s.a., commonly known as repretel or grupo repretel is a costa rican media company, founded by remigio gonzalez, that came into competition with teletica and canal9. repretel owns costa rican channels 4, 6, 11 and 2.",B-PROD I-PROD O O O,B-CORP I-CORP O O O,B-CORP I-CORP O O O
205736,493d5d83-2d6b-44aa-8f7e-93ffbe7b3550,wade  spent  the  next  three  years  as  the  defensive  coordinator  of  the  philadelphia  eagles  under  buddy  ryan  . ,"wade  spent  the  next  three  years  as  the  defensive  coordinator  of  the  philadelphia  eagles  under  buddy  ryan  . eagle is the common name for many large birds of prey of the family accipitridae. eagles belong to several groups of genera, some of which are closely related.",O O O O O O O O O O O O B-GRP I-GRP O O B-PER O,O O O O O O O O O O O O B-GRP I-GRP O B-PER I-PER O,O O O O O O O O O O O O B-GRP I-GRP O B-PER I-PER O
107346,37d2a565-ec03-43c8-ac83-4c7f660397ba,tuenti  company ,"tuenti  company tuenti technologies, s.l.u is a mobile virtual network operator  that operates with the tuenti brand owned by telefónica. it is a spain-based tech company that focuses on providing a cloud-based services through its own application and its website to their customers.",B-CORP I-CORP,B-CORP O,B-CORP O
7467,54655108-203e-4019-8aeb-c49354ad9d8a,bar  :  11  color  :  past  from  :  07  /  01  /  2012  till  :  07  /  15  /  2015  text  :  dayton  demonz  (  2012  –  15  ) ,bar  :  11  color  :  past  from  :  07  /  01  /  2012  till  :  07  /  15  /  2015  text  :  dayton  demonz  (  2012  –  15  ) dayton  is the sixth-largest city in the u.s. state of ohio and the county seat of montgomery county. a small part of the city extends into greene county.,O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O,O O O O O O O O O O O O O O O O O O O O O O B-GRP I-GRP O O O O O,O O O O O O O O O O O O O O O O O O O O O O B-GRP I-GRP O O O O O
85450,5e67a4c0-8ba0-47ca-a3e5-ff16a3d94be6,how  far  is  mezőhegyes  from  municipality  of  tanza ,"how  far  is  mezőhegyes  from  municipality  of  tanza mezőhegyes  is a town in békés county, in the southern great plain region of south-east hungary. it is home to the hungarian state stud , founded in 1784 and famous for its nonius, furioso-north star and gidran breeds of horse.",O O O B-LOC O O O B-LOC,O O O B-LOC O B-LOC I-LOC I-LOC,O O O B-LOC O B-LOC I-LOC I-LOC
160144,bd309db1-a304-497e-a71c-4cf1f9cdb083,what  is  derry  new  mexico  pay ,"what  is  derry  new  mexico  pay derry, officially londonderry, is the second-largest city in northern ireland and the fifth-largest city on the island of ireland. the old walled city lies on the west bank of the river foyle, which is spanned by two road bridges and one footbridge.",O O B-LOC B-LOC I-LOC I-CW,O O B-LOC I-LOC I-LOC O,O O B-LOC I-LOC I-LOC O
9410,29089673-5a03-4d23-bba2-086c2bc05fd0,edsel  bermuda  recall  check ,"edsel  bermuda  recall  check the edsel bermuda is a station wagon that was produced and sold by edsel in 1958. like the edsel villager and edsel roundup station wagons, the bermuda was built on a 116-inch  wheelbase shared with ford's station wagons, as well as core body stampings.",B-CORP I-CORP O O,B-PROD I-PROD O O,B-PROD I-PROD O O
170715,84bce19b-3001-4162-80f9-170fc0bfdba7,"blake  and  murphy  ,  a  professional  wrestling  tag  team ","blake  and  murphy  ,  a  professional  wrestling  tag  team blake is a surname which originated from old english. its derivation is uncertain; it could come from ""blac"", a nickname for someone who had dark hair or skin, or from ""blaac"", a nickname for someone with pale hair or skin.",B-CORP I-CORP I-CORP O O O O O O,B-GRP I-GRP I-GRP O O O O O O,B-GRP I-GRP I-GRP O O O O O O
105372,624c1778-4290-4fd3-ac5b-835bbb364053,types  of  la  dafne ,"types  of  la  dafne dafne is the earliest known work that, by modern standards, could be considered an opera. the libretto by ottavio rinuccini survives complete; the mostly lost music was completed by jacopo peri, but at least two of the six surviving fragments are by jacopo corsi.",O O B-PROD I-PROD,O O B-CW I-CW,O O B-CW I-CW
116311,94d2e2b1-e283-49f7-a90f-4023fb79a272,valley  of  the  wolves  iraq  reviews ,"valley  of  the  wolves  iraq  reviews iraq, officially the republic of iraq, is a country in western asia. it is bordered by turkey to the north, iran to the east, the persian gulf and kuwait to the southeast, saudi arabia to the south, jordan to the southwest and syria to the west.",B-CW I-CW I-CW I-CW O O,B-CW I-CW I-CW I-CW I-CW O,B-CW I-CW I-CW I-CW I-CW O
62478,a1e75529-1f26-4140-82ef-9948dadd3551,mahoza  county  court  records  search ,"mahoza  county  court  records  search a county court  is a court based in or with a jurisdiction covering one or more counties, which are administrative divisions  within a country, not to be confused with the medieval system of county courts held by the high sheriff of each county.",B-LOC I-LOC O O O,B-LOC O O O O,B-LOC O O O O
196615,92a6383a-67cf-4820-be22-245243195444,"celebration  had  been  the  film  's  working  title  ,  it  was  eventually  produced  in  1963  as  the  stripper  with  robert  webber  in  the  role  . ","celebration  had  been  the  film  's  working  title  ,  it  was  eventually  produced  in  1963  as  the  stripper  with  robert  webber  in  the  role  . robert laman webber  was an american actor. he appeared in dozens of films and television series, roles that included juror no.",O O O O O O O O O O O O O O O B-CW I-CW I-CW O B-PER I-PER O O O O,O O O O O O O O O O O O O O O O B-CW I-CW O B-PER I-PER O O O O,O O O O O O O O O O O O O O O O B-CW I-CW O B-PER I-PER O O O O
109178,d891142d-8703-40b4-8702-994310313998,japan  air  commuter  management ,"japan  air  commuter  management japan  is an island country in east asia. it is situated in the northwest pacific ocean and is bordered on the west by the sea of japan, extending from the sea of okhotsk in the north toward the east china sea, philippine sea, and taiwan in the south.",B-CORP I-CORP I-CORP I-CORP,B-CORP I-CORP I-CORP O,B-CORP I-CORP I-CORP O
8803,598f807a-e9d6-47b7-bef1-bf09812b09cc,hana  mandlíková  caste ,"hana  mandlíková  caste hana mandlíková  is a former professional tennis player from czechoslovakia who later obtained australian citizenship. during her career she won four grand slam singles titles - the 1980 australian open, 1981 french open, 1985 us open and 1987 australian open.",B-PER I-PER B-PROD,B-PER I-PER O,B-PER I-PER O
111688,e5c771be-a3e9-410c-b10a-2d1eadb33ef5,louis  adolphus  duhring  care ,"louis  adolphus  duhring  care louis adolphus duhring  was an american physician and professor of dermatology at the university of pennsylvania. he is best remembered for having delineated dermatitis herpetiformis ; but he also described pruritus hiemalis , and seborrheic dermatitis.",B-PER I-PER B-CW I-CW,B-PER I-PER I-PER O,B-PER I-PER I-PER O
154750,ae078b08-d161-42da-bf27-5c7d677192a2,the  entrance  in  front  of  the  gate  was  fortified  with  a  simple  barbican  . ,"the  entrance  in  front  of  the  gate  was  fortified  with  a  simple  barbican  . a barbican  is a fortified outpost or fortified gateway, such as at an outer defense perimeter of a city or castle, or any tower situated over a gate or bridge which was used for defensive purposes.",O O O O O O O O O O O O B-PROD O,O O O O O O O O O O O O B-LOC O,O O O O O O O O O O O O B-LOC O
51507,8e4c18ee-4c21-44a0-9237-7bd58ca81e2e,reliant  scimitar  tips ,"reliant  scimitar  tips the reliant scimitar name was used for a series of sports car models produced by british car manufacturer reliant between 1964 and 1986. during its 22-year production it evolved from a coupe  into a sports estate , with a convertible variant  launched in 1980.",O B-PROD O,B-PROD I-PROD O,B-PROD I-PROD O
145595,0ad58814-ac73-4b84-944a-1ea78259929c,topsail  usa ,"topsail  usa the united states of america , commonly known as the united states  or america, is a country primarily located in north america. it consists of 50 states, a federal district, five major unincorporated territories, nine minor outlying islands, and 326 indian reservations.",B-CORP O,B-PROD O,B-PROD O
151595,b8c59bdc-1255-4c23-9b9f-b57076b9e579,chicago  surface  lines  english ,"chicago  surface  lines  english chicago  is the most populous city in the u.s. state of illinois and the third most populous in the united states after new york city and los angeles. with a population of 2,746,388 in the 2020 census, it is also the most populous city in the midwest.",B-GRP I-GRP I-GRP O,B-CORP I-CORP I-CORP O,B-CORP I-CORP I-CORP O
72735,690b7de5-447d-40a6-aa4d-833c4ee8bb70,squire  boone  facts  for  kids ,"squire  boone  facts  for  kids squire maugridge boone jr.  was an american frontiersman, longhunter, soldier, city planner, politician, land locator, judge, politician, gunsmith, miller, and brotherof daniel boone. in 1780, he founded the first settlement in shelby county, kentucky.",B-PROD I-PROD O O O,B-PER I-PER O O O,B-PER I-PER O O O
105493,e84f3a63-e75b-43ee-a199-8453d3dd2298,sauber  c32  2017 ,"sauber  c32  2017 the sauber c32 was a formula one racing car designed and built by the sauber team for use in the 2013 formula one season. it was driven by esteban gutiérrez in his formula one debut alongside nico hülkenberg, who joined the team after racing for force india in 2012.",O B-PROD O,B-PROD I-PROD O,B-PROD I-PROD O
132366,fae47eca-3b3e-46dd-961a-33007b3d1acb,pennzoil  wiki ,"pennzoil  wiki pennzoil is an american motor oil brand currently owned by shell plc. the former pennzoil company had been established in 1913 in pennsylvania, being active in business as an independent firm until it was acquired by shell in 2002, becoming a brand of the conglomerate.",B-LOC O,B-CORP O,B-CORP O
143126,b6b52112-699a-417c-852b-bbb1f5bc143e,best  cheapest  yalu ,"best  cheapest  yalu the yalu river, known by koreans as the amrok river or amnok river, is a river on the border between north korea and china. together with the tumen river to its east, and a small portion of paektu mountain, the yalu forms the border between north korea and china.",O O B-CORP,O O B-LOC,O O B-LOC
76119,b4ad9926-db7f-4c64-8977-748ea2cf67c5,dodge  challenger  benefits  health ,"dodge  challenger  benefits  health dodge is an american brand of automobiles and a division of stellantis, based in auburn hills, michigan. dodge vehicles have historically included performance cars, and for much of its existence dodge was chrysler's mid-priced brand above plymouth.",B-PROD O O O,B-PROD I-PROD O O,B-PROD I-PROD O O
87780,af5cdf20-ed1e-496d-9092-e1c2d64653c0,isagenix  international  call  forwarding ,"isagenix  international  call  forwarding isagenix international llc is a privately held multi-level marketing  company that sells dietary supplements and personal care products. the company, based in gilbert, arizona, was founded in 2002 by john anderson, jim cover, and kathy cover.",B-CORP O O O,B-CORP I-CORP O O,B-CORP I-CORP O O
195750,19d1cb5d-4267-45a1-8afe-29b75121c661,where  is  tuskar  rock  ca? ,"where  is  tuskar  rock  ca? tuskar rock may refer to one of the following:tuskar rock, ireland, an island off county wexfordtuskar rock air disaster at tuskar rock, ireland, in 1968tuskar rock, a publishing imprint founded in 2008 by author colm tóibín and literary agent peter straus",O O B-LOC I-LOC I-LOC,O O B-LOC I-LOC O,O O B-LOC I-LOC O
165795,dfbf888d-8699-4546-b7d4-4a61c3aa7ce2,"clio  (  also  known  as  kira  )  is  the  lead  character  in  the  2007  musical  xanadu  ,  which  is  based  on  the  1980  film  of  the  xanadu  . ","clio  (  also  known  as  kira  )  is  the  lead  character  in  the  2007  musical  xanadu  ,  which  is  based  on  the  1980  film  of  the  xanadu  . in greek mythology, clio , also spelled kleio, is the muse of history, or in a few mythological accounts, the muse of lyre playing.",O O O O O O O O O O O O O O O B-CW O O O O O O O O B-CW I-CW I-CW O,O O O O O O O O O O O O O O O B-CW O O O O O O O O O O B-CW O,O O O O O O O O O O O O O O O B-CW O O O O O O O O O O B-CW O
111301,aa0e810a-f5a0-4751-849b-29e6fd288365,cggveritas  airline ,"cggveritas  airline cgg sa  is a multinational geoscience technology services company that specializes on solving complex natural resource, environmental and infrastructure challenges.cgg is listed on euronext paris, and was listed on the new york stock exchange until october 1, 2018.",B-CORP I-CORP,B-CORP O,B-CORP O
35260,e6c14f89-1290-4f9b-a09e-f0c0c28a48c6,"there  are  stone  benches  along  the  east  wall  and  a  small  ,  damaged  piscina  in  the  south  wall  . ","there  are  stone  benches  along  the  east  wall  and  a  small  ,  damaged  piscina  in  the  south  wall  . a piscina is a shallow basin placed near the altar of a church, or else in the vestry or sacristy, used for washing the communion vessels. the sacrarium is the drain itself.",O O O O O O O O O O O O O B-LOC O O O O O,O O O O O O O O O O O O O B-PROD O O O O O,O O O O O O O O O O O O O B-PROD O O O O O
28573,74560579-2a2f-41bc-a2e7-bbf19bb0f0f3,"in  the  chancel  is  a  three  seat  sedilia  ,  which  dates  from  the  13th  century  ,  and  a  piscina  . ","in  the  chancel  is  a  three  seat  sedilia  ,  which  dates  from  the  13th  century  ,  and  a  piscina  . a piscina is a shallow basin placed near the altar of a church, or else in the vestry or sacristy, used for washing the communion vessels. the sacrarium is the drain itself.",O O O O O O O B-PROD O O O O O O O O O O O O,O O O O O O O B-PROD O O O O O O O O O O B-PROD O,O O O O O O O B-PROD O O O O O O O O O O B-PROD O
19024,d111cd19-3aeb-460b-bf6e-1d0098e52c58,tom  chapman  drug  use ,"tom  chapman  drug  use thomas louis chapman  is a franco british musician, producer and songwriter, best known as being the bass guitarist of english rock band new order. he is also one of the founding members of anglo-american group shadowparty and, more recently in 2020, sea fever.",B-PER I-PER B-CW I-CW,B-PER I-PER O O,B-PER I-PER O O
58313,50470143-2ff2-433a-a323-db64b100d659,liverpool  finished  the  premier  league  season  in  fourth  place  . ,"liverpool  finished  the  premier  league  season  in  fourth  place  . liverpool is a city and metropolitan borough in north west england. with a population of 486,100 in 2021, it is located within the county of merseyside and is the principal city of the wider liverpool city region.",B-GRP O O B-CORP I-CORP O O O O O,O O O B-CORP I-CORP O O O O O,O O O B-CORP I-CORP O O O O O
73028,c1069497-44a4-45c8-8bac-190f8bb52c9c,diana  lady  isaac  space ,"diana  lady  isaac  space diana most commonly refers to:diana , given name diana , ancient roman goddess of the hunt and wild animals; later associated with the moondiana, princess of wales , formerly lady diana spencer, activist, philanthropist, and member of the british royal family",B-PER I-PER I-CW I-CW,B-PER I-PER I-PER O,B-PER I-PER I-PER O
120136,5965da20-46ce-481f-9684-896c914c3701,georges  cabana  ticket ,"georges  cabana  ticket georges cabana  was a canadian roman catholic priest and archbishop of sherbrooke from 1952 to 1967. born in granby, quebec, cabana studied at the séminaire saint-charles-borromée de sherbrooke, séminaire de saint-hyacinthe, and the grand séminaire de montréal.",B-LOC I-LOC O,B-PER I-PER O,B-PER I-PER O
198799,5284b46c-ba8a-41eb-acee-bd73841b3479,"mineral,  california  ferihegy  airport ","mineral,  california  ferihegy  airport california is a state in the western united states, located along the pacific coast. with nearly 39.2 million residents across a total area of approximately 163,696 square miles , it is the most populous u.s. state and the third-largest by area.",O B-LOC B-LOC I-LOC,B-LOC I-LOC B-LOC I-LOC,B-LOC I-LOC B-LOC I-LOC
159446,07a0d7ce-e1c8-4bdd-9dac-8f1644643b12,cast  of  edmond  carmody ,"cast  of  edmond  carmody edmond carmody, d.d.,  is an irish-born american prelate of the roman catholic church. he served as bishop of the diocese of corpus christi in texas , bishop of the diocese of tyler in texas  and as auxiliary bishop of the archdiocese of san antonio in texas .",O O B-CW I-CW,O O B-PER I-PER,O O B-PER I-PER
207385,e8dfda65-7732-41cc-9a33-d72cb4bdff8c,how  to  print  from  meyers  manx  to  wireless  printer ,"how  to  print  from  meyers  manx  to  wireless  printer meyers is a surname of english origin; many branches of the meyers family trace their origins to anglo-saxon england. the name is derived from the old french name maire, meaning ""mayor"", or an officer in charge of legal matters.",O O O O B-CORP I-PROD O O O,O O O O B-PROD I-PROD O O O,O O O O B-PROD I-PROD O O O
